Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
March Capital Partners;https://www.crunchbase.com/organization/march-capital-partners;25;2;Santa Monica, California, United States;Venture Capital;March Capital Partners is a Santa Monica-based venture capital firm financing technology companies.;http://www.marchcp.com/;https://twitter.com/MarchCPs;;https://www.linkedin.com/company/march-capital-partners;21;13;;;
Manitou Ventures;https://www.crunchbase.com/organization/manitou-ventures;6;;San Francisco, California, United States;Venture Capital;Manitou Ventures is a venture capital firm specializing in investments in seed and early-stage companies in the U.S. and China.;;;;;4;1;;;
Manatt Venture Fund;https://www.crunchbase.com/organization/manatt-venture-fund;25;4;Los Angeles, California, United States;Venture Capital;The Manatt Venture Fund is the investment arm of Manatt, Phelps & Philips, LLP, a Los Angeles-based law firm.;;;;;21;;;;
Manatt Digital Media;https://www.crunchbase.com/organization/manatt-digital-media;3;;Los Angeles, California, United States;Venture Capital;Manatt Digital Media offers full-service legal and business consulting for digital media, entertainment and advertising companies.;http://www.manattdigitalmedia.com;http://twitter.com/ManattDM;http://www.facebook.com/ManattPhelpsPhillipsLLP;http://www.linkedin.com/company/manatt-phelps-;3;;;;
Makower Family Trust;https://www.crunchbase.com/organization/makower-family-trust;1;;San Francisco, California, United States;Venture Capital;Makower Family Trust was added in 2009.;;;;;;;;;
Mainsail Partners;https://www.crunchbase.com/organization/mainsail-partners;11;1;San Francisco, California, United States;Private Equity Firm;Mainsail Partners is a San Francisco-based private equity firm with nearly $400 million in committed capital raised from leading;http://www.mainsailpartners.com;;;http://www.linkedin.com/company/76151;10;8;;;
Maiden Lane Ventures;https://www.crunchbase.com/organization/maiden-lane-ventures;26;3;San Francisco, California, United States;Venture Capital;Maiden Lane Ventures is a San Francisco-based, online venture capital fund that invests in Angel List syndicates.;http://maidenlane.com;;;;23;;;;
Madison Parker Capital;https://www.crunchbase.com/organization/madison-parker-capital;8;2;Menlo Park, California, United States;Venture Capital;Madison Parker Capital is a boutique investment firm focused on partnership-oriented investments in middle market companies.;http://www.madisonparkercapital.com;;;;8;3;;;
Maddie's Fund;https://www.crunchbase.com/organization/maddie-s-fund;1;;Pleasanton, California, United States;Venture Capital;Maddie's Fund is a network to no kill animal shelters that work with community collaborations of veterinarians and rescue groups.;http://www.maddiesfund.org;https://www.twitter.com/maddiesfund;https://www.facebook.com/maddiesfund;;1;;;;
Machine Shop Ventures;https://www.crunchbase.com/organization/machine-shop-ventures;5;;Los Angeles, California, United States;Venture Capital;Consumer focused early-to-growth stage VC fund founded by Linkin Park;http://www.machineshopventures.com/;;;;5;;;;
M6 Ventures;https://www.crunchbase.com/organization/israel-tech-trust;1;;La Jolla, California, United States;Micro VC;Israel Tech Trust;http://www.m6clothing.com#!about1/c17xi;;;;1;;;;
M13;https://www.crunchbase.com/organization/m13;;;Beverly Hills, California, United States;Venture Capital;M13 is a diversified holding and branding development company at the nexus of consumer brands and media technology.;http://m13.co/;https://twitter.com/m13company;https://www.facebook.com/M13Company/;https://www.linkedin.com/company/10885435?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10885435%2Cidx%3A2-1-2%2CtarId%3A1478212168349%2Ctas%3Am13%20company;;;;;
M & Y Growth Partners;https://www.crunchbase.com/organization/m-y-growth-partners;5;;California City, California, United States;Venture Capital;m&y growth partners is the hands-on VC fund focusing on IT/Mobile investments in any stage in any country.;https://www.;http://twitter.com;;;3;1;;;
Lurkinâ„¢;https://www.crunchbase.com/organization/lurkin-vc;2;;Los Angeles, California, United States;Venture Capital;Lurkin is a global venture company, with ventures ranging from technology startups, to motion pictures, & everything in between.;http://Lurkin.com;https://twitter.com/iLurkin;;https://linkedin.com/company/Lurkin;2;;;;
Luminate Capital Partners;https://www.crunchbase.com/organization/luminate-capital-partners;;;San Francisco, California, United States;Private Equity Firm;A private equity firm focused on making control investments in the software and software-enabled services areas.;http://luminatecapital.com/;;;;;;;;
Luminari Capital;https://www.crunchbase.com/organization/luminari-capital;21;1;Palo Alto, California, United States;Venture Capital;Luminari Capital is a digital media fund that invests on firms that map key technology themes to the fundamental transformations in content.;http://www.luminaricapital.com;;;;15;;;;
Lumia Capital;https://www.crunchbase.com/organization/lumia-capital;32;2;San Francisco, California, United States;Venture Capital;Lumia is a venture capital firm partnering with Tech companies.;http://lumiacapital.com;http://twitter.com/LumiaCapital;http://www.facebook.com/LumiaCapital;;27;3;;;
Lucky Ventures;https://www.crunchbase.com/organization/lucky-ventures;;;San Francisco, California, United States;Venture Capital;Lucky Ventures is a venture capital firm focused on rapidly growing tech and mobile startups.;http://lucky.vc;https://www.twitter.com/lucky_vc;https://www.facebook.com/luckyventuresllc;;;;;;
Lucid Ventures;https://www.crunchbase.com/organization/lucid-ventures;4;2;San Ramon, California, United States;Venture Capital;Lucid Ventures is a California-based investment firm that finances seed, early, and later stage companies.;http://lucidventures.com/;http://twitter.com/novaspivack;;;2;;;;
Lucent Venture Partners;https://www.crunchbase.com/organization/lucent-venture-partners;44;17;Palo Alto, California, United States;Venture Capital;Lucent Venture Partners, LLC. is a venture capital subsidiary of Lucent Technologies with offices in Palo Alto, California, Waltham,;http://www.lucentventurepartners.com;;;;34;6;;;
Lucas Venture Group;https://www.crunchbase.com/organization/lucas-venture-group;11;2;Menlo Park, California, United States;Venture Capital;Lucas Venture Group is a venture capital firm investing in e-commerce, networking, software analytics/big data and medical device companies.;http://www.lucasvg.com;http://twitter.com/vconthebrain;;;8;1;;;
LRG Capital Group;https://www.crunchbase.com/organization/lrg-capital-group;2;;Larkspur, California, United States;Private Equity Firm;LRG Capital Group (Formerly BayStar Capital) is a global investment, banking and advisory boutique that focuses on public and private;http://lrgcap.com/;;;;2;1;;;
Lowercase Capital;https://www.crunchbase.com/organization/lowercase-capital;123;25;Los Angeles, California, United States;Venture Capital;Lowercase Capital provides capital and advisory services to start-ups and late-stage companies alike.;http://lowercasecapital.com;http://twitter.com/Lowercase;;https://www.linkedin.com/company/8945800;95;1;;;
Louisiana Angel Network;https://www.crunchbase.com/organization/louisiana-angel-network;;;San Francisco, California, United States;Angel Group;The Louisiana Angel Network (LAN) is a registered Louisiana Nonprofit Corporation headquartered in Baton Rouge, Louisiana governed by its;http://louisianaangels.weebly.com;https://www.twitter.com/weebly;https://www.facebook.com/weebly;;;;;;
Longwood Capital Partners;https://www.crunchbase.com/organization/longwood-capital-partners;2;1;Portola Valley, California, United States;Venture Capital;Longwood Capital Partners;http://www.;;;;1;;;;
Longitude Capital;https://www.crunchbase.com/organization/longitude-capital;46;8;Menlo Park, California, United States;Venture Capital;Longitude Capital is a California-based venture capital firm that invests in biotechnology and medical technology companies.;http://www.longitudecapital.com;;;;30;18;;;
Longfellow Venture Partners;https://www.crunchbase.com/organization/longfellow-venture-partners;3;;California City, California, United States;Venture Capital;Longfellow Venture Partners is an American venture capital firm that offers early stage investment services.;;;;;3;;;;
London Bay Capital;https://www.crunchbase.com/organization/london-bay-capital;1;;San Francisco, California, United States;Venture Capital;London Bay Capital is principal investment firm. London Bay Capital LLC is based in San Francisco, California.;;;;;1;;;;
LombardStreet.io;https://www.crunchbase.com/organization/lombardstreet-io;;;San Francisco, California, United States;Venture Capital;LombardStreet.io is a startup studio. We build startups between Italy (dev team) and Silicon Valley (business), alongside Italian talents.;http://lombardstreet.io;https://twitter.com/lombardstreetio;;https://www.linkedin.com/company/lombardstreet.io/;;;;;
LMN Ventures;https://www.crunchbase.com/organization/lmn-ventures;1;;Sunnyvale, California, United States;Venture Capital;LMN Ventures is an early-stage venture capital firm.;http://www.lmnvc.com/;;;;1;;;;
LiteCap;https://www.crunchbase.com/organization/lite-cap;2;;Los Gatos, California, United States;Private Equity Firm;LiteCap is a private equity firm that discovers, funds and fosters the growth of next generation companies.;http://www.lite-cap.com/;;;;2;1;;;
Liquid2 Ventures;https://www.crunchbase.com/organization/liquid2-ventures;23;;San Francisco, California, United States;Venture Capital;Liquid2 Ventures provides technology startups with seed stage investments and is based in San Francisco, California.;http://liquid2.vc/;;https://www.facebook.com/mlmiller1;;22;1;;;
Liquid Ventures;https://www.crunchbase.com/organization/liquid-ventures;1;;Marina Del Rey, California, United States;Venture Capital;Liquid Ventures;http://www.liquidventure.com;;;;1;;;;
Lion Ventures;https://www.crunchbase.com/organization/lion-ventures;2;;San Francisco, California, United States;Private Equity Firm;Lion Ventures is a private investment firm that builds and mentors small- to middle-market companies.;http://www.lion-ventures.com;;;;2;1;;;
Linse Capital;https://www.crunchbase.com/organization/linse-capital;1;;Menlo Park, California, United States;Venture Capital;Linse Capital venture capital firm;http://www.linsecapital.com/;;;;1;1;;;
Linear Capital Partners;https://www.crunchbase.com/organization/linear-capital-partners;1;;Los Angeles, California, United States;Private Equity Firm;Linear Capital Partners is a corporate finance firm that specializes in mergers, reverse mergers, and acquiring private capital.;http://www.linearcp.com;;;;1;;;;
Lincoln Funds International;https://www.crunchbase.com/organization/lincoln-funds-international;1;;Costa Mesa, California, United States;Venture Capital;Lincoln Funds International was added in 2009.;http://www.lincolnfunds.com;;;;1;;;;
